安道尔共和国	Andorra
阿拉伯联合酋长国	United Arab Emirates
阿富汗	Afghanistan
安提瓜和巴布达	Antigua and Barbuda
安圭拉岛	Anguilla
阿尔巴尼亚	Albania
亚美尼亚	Armenia
安哥拉	Angola
阿根廷	Argentina
奥地利	Austria
澳大利亚	Australia
阿塞拜疆	Azerbaijan
巴巴多斯	Barbados
孟加拉国	Bangladesh
比利时	Belgium
布基纳法索	Burkina-faso
保加利亚	Bulgaria
巴林	Bahrain
布隆迪	Burundi
贝宁	Benin
巴勒斯坦	Palestine
百慕大群岛	Bermuda Is.
文莱	Brunei
玻利维亚	Bolivia
巴西	Brazil
巴哈马	Bahamas
博茨瓦纳	Botswana
白俄罗斯	Belarus
伯利兹	Belize
加拿大	Canada
中非共和国	Central African Republic
刚果	Congo
瑞士	Switzerland
库克群岛	Cook Is.
智利	Chile
喀麦隆	Cameroon
中国	China
哥伦比亚	Colombia
哥斯达黎加	Costa Rica
捷克	Czech
古巴	Cuba
塞浦路斯	Cyprus
捷克	Czech Republic
德国	Germany
吉布提	Djibouti
丹麦	Denmark
多米尼加共和国	Dominica Rep.
阿尔及利亚	Algeria
厄瓜多尔	Ecuador
爱沙尼亚	Estonia
埃及	Egypt
西班牙	Spain
埃塞俄比亚	Ethiopia
芬兰	Finland
斐济	Fiji
法国	France
加蓬	Gabon
英国	United Kiongdom
格林纳达	Grenada
格鲁吉亚	Georgia
法属圭亚那	French Guiana
加纳	Ghana
直布罗陀	Gibraltar
冈比亚	Gambia
几内亚	Guinea
希腊	Greece
危地马拉	Guatemala
关岛	Guam
圭亚那	Guyana
香港特别行政区	Hongkong
洪都拉斯	Honduras
海地	Haiti
匈牙利	Hungary
印度尼西亚	Indonesia
爱尔兰	Ireland
以色列	Israel
印度	India
伊拉克	Iraq
伊朗	Iran
冰岛	Iceland
意大利	Italy
牙买加	Jamaica
约旦	Jordan
日本	Japan
肯尼亚	Kenya
吉尔吉斯坦	Kyrgyzstan
柬埔寨	Kampuchea (Cambodia )
朝鲜	North Korea
韩国	Korea
科特迪瓦共和国	Republic of Ivory Coast
科威特	Kuwait
哈萨克斯坦	Kazakstan
老挝	Laos
黎巴嫩	Lebanon
圣卢西亚	St.Lucia
列支敦士登	Liechtenstein
斯里兰卡	Sri Lanka
利比里亚	Liberia
莱索托	Lesotho
立陶宛	Lithuania
卢森堡	Luxembourg
拉脱维亚	Latvia
利比亚	Libya
摩洛哥	Morocco
摩纳哥	Monaco
摩尔多瓦	Moldova, Republic of
马达加斯加	Madagascar
马里	Mali
缅甸	Burma
蒙古	Mongolia
澳门	Macao
蒙特塞拉特岛	Montserrat Is
马耳他	Malta
毛里求斯	Mauritius
马尔代夫	Maldives
马拉维	Malawi
墨西哥	Mexico
马来西亚	Malaysia
莫桑比克	Mozambique
纳米比亚	Namibia
尼日尔	Niger
尼日利亚	Nigeria
尼加拉瓜	Nicaragua
荷兰	Netherlands
挪威	Norway
尼泊尔	Nepal
瑙鲁	Nauru
新西兰	New Zealand
阿曼	Oman
巴拿马	Panama
秘鲁	Peru
法属玻利尼西亚	French Polynesia
巴布亚新几内亚	Papua New Cuinea
菲律宾	Philippines
巴基斯坦	Pakistan
波兰	Poland
波多黎各	Puerto Rico
葡萄牙	Portugal
巴拉圭	Paraguay
卡塔尔	Qatar
罗马尼亚	Romania
俄罗斯	Russia
沙特阿拉伯	Saudi Arabia
所罗门群岛	Solomon Is
塞舌尔	Seychelles
苏丹	Sudan
瑞典	Sweden
新加坡	Singapore
斯洛文尼亚	Slovenia
斯洛伐克	Slovakia
塞拉利昂	Sierra Leone
圣马力诺	San Marino
塞内加尔	Senegal
索马里	Somali
苏里南	Suriname
圣多美和普林西比	Sao Tome and Principe
萨尔瓦多	EI Salvador
叙利亚	Syria
斯威士兰	Swaziland
乍得	Chad
多哥	Togo
泰国	Thailand
塔吉克斯坦	Tajikstan
土库曼斯坦	Turkmenistan
突尼斯	Tunisia
汤加	Tonga
土耳其	Turkey
特立尼达和多巴哥	Trinidad and Tobago
台湾	Taiwan
坦桑尼亚	Tanzania
乌克兰	Ukraine
乌干达	Uganda
美国	United States
乌拉圭	Uruguay
乌兹别克斯坦	Uzbekistan
圣文森特岛	Saint Vincent
委内瑞拉	Venezuela
越南	Vietnam
也门	Yemen
南斯拉夫	Yugoslavia
南非	South Africa
赞比亚	Zambia
扎伊尔	Zaire
津巴布韦	Zimbabwe
